Pollutant: Particulate matter (PM10)
Daily means
Unit: ug/m3
Source: NABEL
Date/time;Härkingen-A1
01.12.2024;15.6
02.12.2024;22.7
03.12.2024;5.6
04.12.2024;6.1
05.12.2024;12.4
06.12.2024;6.1
07.12.2024;4.8
08.12.2024;2.6
09.12.2024;4.8
10.12.2024;7.5
11.12.2024;
12.12.2024;
13.12.2024;15.8
14.12.2024;24.3
15.12.2024;3.2
16.12.2024;9.5
17.12.2024;14.5
18.12.2024;16.9
19.12.2024;10.5
20.12.2024;4.8
21.12.2024;6.2
22.12.2024;2.3
23.12.2024;11.2
24.12.2024;11.8
25.12.2024;12.7
26.12.2024;17.3
27.12.2024;18.8
28.12.2024;12.0
29.12.2024;10.3
30.12.2024;10.7
31.12.2024;15.2
