,Population,GDP per capita,Bus_Electricity,Car_Renewable,Bus_Diesel,Car_Diesel,Pop_age_65-79,Pop_age_GT_80,Population_density,Modal_Share_Bus,Modal_Share_Train
2020-12-31,10000000.0,33000.0,67.5,56250.0,5400.0,506250.0,1400000.0,400000.0,120.0,15.0,8.0
2021-12-31,10015000.0,33561.0,73.5,61250.0,4590.0,430312.5,1406999.9999999998,401999.99999999994,120.24,15.15,8.08
2022-12-31,10030022.500000002,34131.537,79.5,66250.0,3901.5,365765.625,1414000.0,404000.0,120.48047999999999,15.3,8.16
2023-12-31,10045067.533750001,34711.77312899999,85.5,71250.0,3316.2749999999996,310900.78124999994,1420999.9999999998,405999.99999999994,120.72144096,15.450000000000001,8.24
2024-12-31,10060135.135050626,35301.873272192985,91.5,76250.0,2818.8337499999993,264265.66406249994,1428000.0,408000.0,120.96288384192002,15.600000000000001,8.32
2025-12-31,10075225.337753205,35902.00511782026,97.5,81250.0,2396.0086874999997,224625.81445312497,1434999.9999999998,409999.99999999994,121.20480960960384,15.75,8.4
2026-12-31,10090338.175759835,36512.339204823205,157.5,131250.0,2036.6073843749996,190931.94228515623,1442000.0,412000.0,121.44721922882303,15.9,8.48
2027-12-31,10105473.683023473,37133.0489713052,172.5,143750.0,1731.1162767187498,162292.15094238278,1449000.0,413999.99999999994,121.6901136672807,16.05,8.56
2028-12-31,10120631.893548012,37764.31080381738,187.49999999999997,156250.0,1471.4488352109372,137948.32830102538,1456000.0,416000.0,121.93349389461527,16.200000000000003,8.64
2029-12-31,10135812.841388332,38406.30408748227,202.49999999999997,168749.99999999997,1250.7315099292966,117256.07905587155,1463000.0,418000.0,122.1773608824045,16.35,8.72
2030-12-31,10151016.560650416,39059.211256969465,217.49999999999997,181249.99999999997,1063.121783439902,99667.66719749082,1470000.0,420000.0,122.4217156041693,16.5,8.8
2031-12-31,10166243.085491393,39723.21784833795,364.5,303750.0,903.6535159239168,84717.51711786719,1477000.0,422000.0,122.66655903537763,16.650000000000002,8.88
2032-12-31,10181492.45011963,40398.51255175969,391.50000000000006,326250.00000000006,768.1054885353292,72009.88955018712,1484000.0,424000.0,122.91189215344839,16.8,8.96
2033-12-31,10196764.68879481,41085.287265139596,418.5,348750.0,652.8896652550299,61208.40611765905,1491000.0,426000.0,123.1577159377553,16.95,9.04
2034-12-31,10212059.835828003,41783.73714864697,427.5,356250.0,600.0,56250.0,1498000.0,428000.0,123.40403136963081,17.1,9.120000000000001
2035-12-31,10227377.925581744,42494.060680173956,427.5,356250.0,600.0,56250.0,1505000.0,430000.0,123.65083943237005,17.25,9.2
2036-12-31,10242718.99247012,43216.45971173691,427.5,356250.0,600.0,56250.0,1512000.0,432000.0,123.89814111123482,17.4,9.28
2037-12-31,10258083.070958823,43951.139526836436,427.5,356250.0,600.0,56250.0,1519000.0,434000.0,124.14593739345726,17.549999999999997,9.36
2038-12-31,10273470.195565265,44698.30889879265,427.5,356250.0,600.0,56250.0,1526000.0,436000.00000000006,124.39422926824419,17.7,9.44
2039-12-31,10288880.40085861,45458.18015007213,427.5,356250.0,600.0,56250.0,1533000.0,438000.0,124.64301772678067,17.849999999999998,9.52
2040-12-31,10304313.7214599,46230.96921262334,427.5,356250.0,600.0,56250.0,1540000.0000000002,440000.00000000006,124.89230376223423,18.0,9.6
2041-12-31,10319770.19204209,47016.89568923794,427.5,356250.0,600.0,56250.0,1547000.0,442000.0,125.14208836975871,18.15,9.68
2042-12-31,10335249.847330155,47816.18291595498,427.5,356250.0,600.0,56250.0,1554000.0000000002,444000.00000000006,125.39237254649822,18.3,9.76
2043-12-31,10350752.72210115,48629.05802552621,427.5,356250.0,600.0,56250.0,1561000.0,446000.0,125.64315729159122,18.45,9.84
2044-12-31,10366278.851184303,49455.75201196015,427.5,356250.0,600.0,56250.0,1568000.0000000002,448000.00000000006,125.8944436061744,18.6,9.92
2045-12-31,10381828.26946108,50296.499796163465,427.5,356250.0,600.0,56250.0,1575000.0,450000.0,126.14623249338676,18.75,10.0
2046-12-31,10397401.011865271,51151.540292698235,427.5,356250.0,600.0,56250.0,1581999.9999999998,451999.99999999994,126.39852495837351,18.9,10.08
2047-12-31,10412997.11338307,52021.116477674106,427.5,356250.0,600.0,56250.0,1589000.0,454000.0,126.65132200829028,19.05,10.16
2048-12-31,10428616.609053144,52905.475457794564,427.5,356250.0,600.0,56250.0,1596000.0000000002,456000.00000000006,126.90462465230685,19.2,10.24
2049-12-31,10444259.533966726,53804.86854057707,427.5,356250.0,600.0,56250.0,1603000.0,458000.0,127.15843390161146,19.35,10.32
2050-12-31,10459925.923267677,54719.551305766865,427.5,356250.0,600.0,56250.0,1609999.9999999998,459999.99999999994,127.4127507694147,19.5,10.4
