Pollutant: Nitrogen oxides (NOX)
Daily means
Unit: ug/m3 eq. NO2
Source: NABEL
Date/time;Härkingen-A1
01.12.2024;57.7
02.12.2024;104.6
03.12.2024;48.2
04.12.2024;41.5
05.12.2024;73.4
06.12.2024;35.5
07.12.2024;40.6
08.12.2024;24.9
09.12.2024;9.0
10.12.2024;11.3
11.12.2024;
12.12.2024;
13.12.2024;58.9
14.12.2024;79.1
15.12.2024;38.2
16.12.2024;92.3
17.12.2024;116.8
18.12.2024;96.9
19.12.2024;55.2
20.12.2024;71.7
21.12.2024;44.7
22.12.2024;21.9
23.12.2024;38.1
24.12.2024;47.0
25.12.2024;33.6
26.12.2024;80.2
27.12.2024;58.5
28.12.2024;55.1
29.12.2024;51.1
30.12.2024;58.6
31.12.2024;53.3
