Pollutant: Particulate matter (PM2.5)
Daily means
Unit: ug/m3
Source: NABEL
Date/time;Härkingen-A1
01.12.2024;19.5
02.12.2024;22.9
03.12.2024;5.7
04.12.2024;6.8
05.12.2024;13.4
06.12.2024;5.6
07.12.2024;5.1
08.12.2024;3.5
09.12.2024;6.7
10.12.2024;9.8
11.12.2024;
12.12.2024;
13.12.2024;19.1
14.12.2024;26.7
15.12.2024;4.4
16.12.2024;9.8
17.12.2024;17.0
18.12.2024;20.6
19.12.2024;9.8
20.12.2024;5.5
21.12.2024;6.9
22.12.2024;2.0
23.12.2024;5.5
24.12.2024;11.9
25.12.2024;15.8
26.12.2024;20.4
27.12.2024;23.7
28.12.2024;15.8
29.12.2024;13.7
30.12.2024;14.0
31.12.2024;19.2
