STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AD,Andorra,2013,,15.5,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AD,Andorra,2019,,13.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AL,Albania,2013,,20.1,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AL,Albania,2014,,19.6,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AL,Albania,2015,,19.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AL,Albania,2016,,18.5,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AL,Albania,2017,,18.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AL,Albania,2018,,17.7,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AL,Albania,2019,,17.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AL,Albania,2020,,16.8,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AL,Albania,2021,,16.5,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AL,Albania,2022,,16.3,,,,,
