STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,vehicle,Vehicles,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TRAN_HV_PSMOD(1.0),Modal split of inland passenger transport,A,Annual,PC,Percentage,BUS_TOT,"Motor coaches, buses and trolley buses",AT,Austria,1990,,11.0,,,,,
dataflow,ESTAT:TRAN_HV_PSMOD(1.0),Modal split of inland passenger transport,A,Annual,PC,Percentage,BUS_TOT,"Motor coaches, buses and trolley buses",AT,Austria,1991,,10.6,,,,,
dataflow,ESTAT:TRAN_HV_PSMOD(1.0),Modal split of inland passenger transport,A,Annual,PC,Percentage,BUS_TOT,"Motor coaches, buses and trolley buses",AT,Austria,1992,,10.5,,,,,
dataflow,ESTAT:TRAN_HV_PSMOD(1.0),Modal split of inland passenger transport,A,Annual,PC,Percentage,BUS_TOT,"Motor coaches, buses and trolley buses",AT,Austria,1993,,10.7,,,,,
dataflow,ESTAT:TRAN_HV_PSMOD(1.0),Modal split of inland passenger transport,A,Annual,PC,Percentage,BUS_TOT,"Motor coaches, buses and trolley buses",AT,Austria,1994,,10.6,,,,,
dataflow,ESTAT:TRAN_HV_PSMOD(1.0),Modal split of inland passenger transport,A,Annual,PC,Percentage,BUS_TOT,"Motor coaches, buses and trolley buses",AT,Austria,1995,,10.9,,,,,
dataflow,ESTAT:TRAN_HV_PSMOD(1.0),Modal split of inland passenger transport,A,Annual,PC,Percentage,BUS_TOT,"Motor coaches, buses and trolley buses",AT,Austria,1996,,10.7,,,,,
dataflow,ESTAT:TRAN_HV_PSMOD(1.0),Modal split of inland passenger transport,A,Annual,PC,Percentage,BUS_TOT,"Motor coaches, buses and trolley buses",AT,Austria,1997,,10.9,,,,,
dataflow,ESTAT:TRAN_HV_PSMOD(1.0),Modal split of inland passenger transport,A,Annual,PC,Percentage,BUS_TOT,"Motor coaches, buses and trolley buses",AT,Austria,1998,,10.9,,,,,
dataflow,ESTAT:TRAN_HV_PSMOD(1.0),Modal split of inland passenger transport,A,Annual,PC,Percentage,BUS_TOT,"Motor coaches, buses and trolley buses",AT,Austria,1999,,10.7,,,,,
dataflow,ESTAT:TRAN_HV_PSMOD(1.0),Modal split of inland passenger transport,A,Annual,PC,Percentage,BUS_TOT,"Motor coaches, buses and trolley buses",AT,Austria,2000,,11.0,,,,,
dataflow,ESTAT:TRAN_HV_PSMOD(1.0),Modal split of inland passenger transport,A,Annual,PC,Percentage,BUS_TOT,"Motor coaches, buses and trolley buses",AT,Austria,2001,,10.9,,,,,
