Feature,Importance_PM25,Importance_PM10,Importance_NO2
Bus_Diesel,47.24137496948242,85.65044403076172,78.15464782714844
Bus_Electricity,34.41094207763672,189.38343811035156,67.35184478759766
Bus_LPG,74.49073791503906,56.89274978637695,41.922386169433594
Bus_Natural_Gas,48.06852340698242,59.20036697387695,66.38762664794922
Bus_Petroleum,46.621700286865234,81.62462615966797,43.50874710083008
Bus_age_10-20,201.3582305908203,189.77342224121094,67.37472534179688
Bus_age_2-5,54.6733283996582,146.5423583984375,81.5483169555664
Bus_age_5-10,53.39879608154297,90.33903503417969,81.86666107177734
Bus_age_GT_20,77.08876037597656,79.80480194091797,112.40182495117188
Bus_age_LT_2,99.73358917236328,217.47254943847656,60.896366119384766
Bus_age_Total,72.44884490966797,141.1572265625,80.3942642211914
Bus_motor_Total,94.46092987060547,150.40969848632812,160.01834106445312
Car_Diesel,86.95462799072266,145.48399353027344,74.45425415039062
Car_Petroleum,87.84378814697266,223.84716796875,93.90982818603516
Car_Renewable,112.4745101928711,181.16485595703125,87.6722640991211
Car_age_10-20,196.3132781982422,189.54808044433594,61.1642951965332
Car_age_2-5,58.96388244628906,174.79568481445312,91.35489654541016
Car_age_5-10,56.10113525390625,84.23560333251953,72.91474151611328
Car_age_GT_20,114.95240020751953,83.23529052734375,98.02168273925781
Car_age_LT_2,113.41815185546875,262.8760986328125,65.51195526123047
Car_age_Total,94.12491607666016,118.91175842285156,70.57222747802734
Car_motor_Total,126.22240447998047,202.80111694335938,135.1134490966797
GDP per capita,501.36041259765625,1389.0855712890625,146.0565185546875
Modal_Share_Bus,306.3752136230469,843.8597412109375,75.79993438720703
Modal_Share_Car,263.7625427246094,148.93185424804688,119.44264221191406
Modal_Share_Train,91.85359191894531,235.25265502929688,96.40841674804688
Pop_age_0-14,158.13589477539062,288.1796569824219,170.61790466308594
Pop_age_15-24,72.10631561279297,183.5027618408203,91.59139251708984
Pop_age_25-49,66.02592468261719,86.22208404541016,63.19711685180664
Pop_age_50-64,116.64761352539062,124.69933319091797,106.69607543945312
Pop_age_65-79,115.34678649902344,359.5239562988281,123.93241119384766
Pop_age_GT_80,204.6321258544922,402.9384460449219,109.76441192626953
Population,64.52593231201172,117.21219635009766,217.16070556640625
Population_density,151.30958557128906,241.53097534179688,349.9847412109375
