,Population,GDP per capita,Bus_Electricity,Car_Renewable,Bus_Diesel,Car_Diesel,Pop_age_65-79,Pop_age_GT_80,Population_density,Modal_Share_Bus,Modal_Share_Train
2020-12-31,300000.0,33000.0,0.018,0.015,0.225,0.1575,0.14,0.03,112.0,15.0,12.0
2021-12-31,300450.0,33561.0,0.0196,0.016333333333333335,0.19125,0.133875,0.1407,0.030149999999999996,112.224,15.15,12.120000000000001
2022-12-31,300900.67500000005,34131.537,0.0212,0.017666666666666667,0.1625625,0.11379374999999999,0.14140000000000003,0.0303,112.44844799999998,15.3,12.24
2023-12-31,301352.0260125,34711.77312899999,0.0228,0.019000000000000003,0.13817812499999998,0.09672468749999999,0.1421,0.030449999999999994,112.67334489599999,15.450000000000001,12.36
2024-12-31,301804.05405151885,35301.873272192985,0.024399999999999998,0.020333333333333335,0.11745140624999997,0.08221598437499998,0.1428,0.0306,112.89869158579201,15.600000000000001,12.48
2025-12-31,302256.76013259613,35902.00511782026,0.026,0.021666666666666667,0.09983369531249998,0.06988358671874999,0.1435,0.030749999999999996,113.12448896896359,15.75,12.600000000000001
2026-12-31,302710.14527279505,36512.339204823205,0.041999999999999996,0.034999999999999996,0.08485864101562499,0.05940104871093749,0.14420000000000002,0.0309,113.3507379469015,15.9,12.72
2027-12-31,303164.2104907042,37133.0489713052,0.04599999999999999,0.03833333333333333,0.07212984486328124,0.05049089140429686,0.1449,0.031049999999999998,113.57743942279532,16.05,12.84
2028-12-31,303618.9568064403,37764.31080381738,0.049999999999999996,0.041666666666666664,0.06131036813378905,0.04291725769365234,0.1456,0.0312,113.80459430164092,16.200000000000003,12.96
2029-12-31,304074.38524165,38406.30408748227,0.05399999999999999,0.045,0.05211381291372069,0.03647966903960448,0.1463,0.031349999999999996,114.0322034902442,16.35,13.080000000000002
2030-12-31,304530.4968195125,39059.211256969465,0.05799999999999999,0.04833333333333333,0.044296740976662585,0.031007718683663806,0.14700000000000002,0.0315,114.26026789722467,16.5,13.200000000000001
2031-12-31,304987.2925647418,39723.21784833795,0.0972,0.081,0.0376522298301632,0.026356560881114238,0.1477,0.03165,114.48878843301912,16.650000000000002,13.32
2032-12-31,305444.77350358886,40398.51255175969,0.1044,0.08700000000000002,0.03200439535563872,0.0224030767489471,0.14840000000000003,0.0318,114.71776600988517,16.8,13.440000000000001
2033-12-31,305902.9406638443,41085.287265139596,0.1116,0.09300000000000001,0.02720373605229291,0.019042615236605036,0.1491,0.03195,114.94720154190495,16.95,13.559999999999999
2034-12-31,306361.7950748401,41783.73714864697,0.11399999999999999,0.095,0.025,0.017499999999999998,0.14980000000000002,0.032100000000000004,115.17709594498876,17.1,13.680000000000001
2035-12-31,306821.33776745235,42494.060680173956,0.11399999999999999,0.095,0.025,0.017499999999999998,0.1505,0.03225,115.40745013687871,17.25,13.799999999999999
2036-12-31,307281.5697741036,43216.45971173691,0.11399999999999999,0.095,0.025,0.017499999999999998,0.15120000000000003,0.0324,115.6382650371525,17.4,13.919999999999998
2037-12-31,307742.4921287647,43951.139526836436,0.11399999999999999,0.095,0.025,0.017499999999999998,0.1519,0.032549999999999996,115.86954156722678,17.549999999999997,14.04
2038-12-31,308204.1058669579,44698.30889879265,0.11399999999999999,0.095,0.025,0.017499999999999998,0.1526,0.0327,116.10128065036125,17.7,14.16
2039-12-31,308666.41202575836,45458.18015007213,0.11399999999999999,0.095,0.025,0.017499999999999998,0.15330000000000002,0.03285,116.33348321166196,17.849999999999998,14.28
2040-12-31,309129.41164379695,46230.96921262334,0.11399999999999999,0.095,0.025,0.017499999999999998,0.15400000000000003,0.033,116.5661501780853,18.0,14.399999999999999
2041-12-31,309593.1057612627,47016.89568923794,0.11399999999999999,0.095,0.025,0.017499999999999998,0.1547,0.03315,116.79928247844147,18.15,14.52
2042-12-31,310057.49541990465,47816.18291595498,0.11399999999999999,0.095,0.025,0.017499999999999998,0.15540000000000004,0.0333,117.03288104339835,18.3,14.64
2043-12-31,310522.5816630345,48629.05802552621,0.11399999999999999,0.095,0.025,0.017499999999999998,0.15610000000000002,0.03345,117.26694680548515,18.45,14.76
2044-12-31,310988.3655355291,49455.75201196015,0.11399999999999999,0.095,0.025,0.017499999999999998,0.15680000000000002,0.033600000000000005,117.50148069909612,18.6,14.879999999999999
2045-12-31,311454.8480838324,50296.499796163465,0.11399999999999999,0.095,0.025,0.017499999999999998,0.15750000000000003,0.03375,117.73648366049432,18.75,15.0
2046-12-31,311922.0303559581,51151.540292698235,0.11399999999999999,0.095,0.025,0.017499999999999998,0.1582,0.03389999999999999,117.97195662781529,18.9,15.120000000000001
2047-12-31,312389.91340149206,52021.116477674106,0.11399999999999999,0.095,0.025,0.017499999999999998,0.1589,0.03405,118.20790054107093,19.05,15.24
2048-12-31,312858.49827159435,52905.475457794564,0.11399999999999999,0.095,0.025,0.017499999999999998,0.15960000000000002,0.0342,118.44431634215306,19.2,15.36
2049-12-31,313327.7860190018,53804.86854057707,0.11399999999999999,0.095,0.025,0.017499999999999998,0.16030000000000003,0.03435,118.68120497483737,19.35,15.48
2050-12-31,313797.7776980303,54719.551305766865,0.11399999999999999,0.095,0.025,0.017499999999999998,0.161,0.034499999999999996,118.91856738478705,19.5,15.600000000000001
