,Population,GDP per capita,Bus_Electricity,Car_Renewable,Bus_Diesel,Car_Diesel,Pop_age_65-79,Pop_age_GT_80,Population_density,Modal_Share_Bus,Modal_Share_Train
2020-12-31,150000.0,45000.0,0.06,0.06,0.09,0.075,0.12,0.03,180.0,20.0,18.0
2021-12-31,151049.99999999997,45540.0,0.0675,0.0675,0.06749999999999999,0.056249999999999994,0.12059999999999998,0.03018,180.54,20.16,18.144
2022-12-31,152107.34999999998,46086.479999999996,0.075,0.075,0.050624999999999996,0.042187499999999996,0.12120299999999996,0.03036108,181.08161999999996,20.32128,18.289152
2023-12-31,153172.10144999996,46639.51776,0.0825,0.0825,0.037968749999999996,0.031640625,0.12180901499999995,0.03054324648,181.62486485999995,20.48385024,18.435465215999997
2024-12-31,154244.30616014992,47199.191973119996,0.09,0.09,0.0284765625,0.02373046875,0.12241806007499995,0.030726505958879997,182.1697394545799,20.64772104192,18.582948937728
2025-12-31,155324.01630327097,47765.582276797446,0.0975,0.0975,0.021357421874999998,0.017797851562499998,0.12303015037537492,0.030910864994633278,182.71624867294364,20.812902810255363,18.731612529229828
2026-12-31,156411.28441739385,48338.76926411901,0.1575,0.1575,0.01601806640625,0.013348388671875,0.1236453011272518,0.03109633018460108,183.26439741896246,20.9794060327374,18.881465429463663
2027-12-31,157506.1634083156,48918.834495288436,0.17375000000000002,0.17375000000000002,0.0120135498046875,0.01001129150390625,0.12426352763288805,0.03128290816570869,183.81419061121935,21.147241280999303,19.032517152899374
2028-12-31,158608.70655217377,49505.860509231905,0.18999999999999997,0.18999999999999997,0.009010162353515625,0.007508468627929687,0.12488484527105248,0.03147060561470294,184.36563318305298,21.3164192112473,19.184777290122568
2029-12-31,159718.96749803895,50099.93083534269,0.20625,0.20625,0.006757621765136718,0.005631351470947265,0.1255092694974077,0.03165942924839116,184.9187300826021,21.486950564937274,19.33825550844355
2030-12-31,160837.00027052526,50701.1300053668,0.2225,0.2225,0.006,0.005,0.12613681584489475,0.031849385823881506,185.47348627284987,21.658846169456773,19.492961552511098
2031-12-31,161962.85927241892,51309.5435654312,0.294,0.294,0.006,0.005,0.1267674999241192,0.032040482138824794,186.0299067316684,21.832116938812426,19.648905244931186
2032-12-31,163096.59928732584,51925.258088216375,0.294,0.294,0.006,0.005,0.1274013374237398,0.03223272503165774,186.5879964518634,22.006773874322928,19.806096486890635
2033-12-31,164238.2754823371,52548.361185274975,0.294,0.294,0.006,0.005,0.1280383441108585,0.032426121381847695,187.14776044121896,22.18282806531751,19.96454525878576
2034-12-31,165387.94341071343,53178.94151949827,0.294,0.294,0.006,0.005,0.12867853583141275,0.03262067811013878,187.7092037225426,22.360290689840056,20.12426162085605
2035-12-31,166545.6590145884,53817.088817732256,0.294,0.294,0.006,0.005,0.1293219285105698,0.03281640217879961,188.2723313337102,22.53917301535877,20.285255713822895
2036-12-31,167711.4786276905,54462.89388354504,0.294,0.294,0.006,0.005,0.12996853815312265,0.03301330059187241,188.83714832771133,22.719486399481642,20.44753775953348
2037-12-31,168885.45897808432,55116.448610147585,0.294,0.294,0.006,0.005,0.13061838084388822,0.03321138039542364,189.40365977269445,22.901242290677498,20.611118061609748
2038-12-31,170067.65719093088,55777.84599346936,0.294,0.294,0.006,0.005,0.13127147274810766,0.03341064867779618,189.9718707520125,23.08445222900292,20.776007006102628
2039-12-31,171258.13079126738,56447.18014539099,0.294,0.294,0.006,0.005,0.13192783011184817,0.03361111256986296,190.54178636426855,23.269127846834937,20.942215062151444
2040-12-31,172456.93770680623,57124.54630713568,0.294,0.294,0.006,0.005,0.1325874692624074,0.033812779245282136,191.1134117233613,23.455280869609616,21.109752782648656
2041-12-31,173664.13627075386,57810.040862821304,0.294,0.294,0.006,0.005,0.13325040660871942,0.034015655920753826,191.68675195853137,23.642923116566497,21.278630804909845
2042-12-31,174879.78522464912,58503.76135317516,0.294,0.294,0.006,0.005,0.133916658641763,0.03421974985627835,192.26181221440692,23.83206650149903,21.448859851349123
2043-12-31,176103.94372122164,59205.80648941327,0.294,0.294,0.006,0.005,0.13458624193497182,0.034425068355416026,192.83859765105015,24.02272303351102,21.620450730159916
2044-12-31,177336.67132727016,59916.276167286225,0.294,0.294,0.006,0.005,0.13525917314464667,0.03463161876554852,193.4171134440033,24.214904817779107,21.7934143360012
2045-12-31,178578.02802656105,60635.27148129367,0.294,0.294,0.006,0.005,0.13593546901036987,0.03483940847814181,193.99736478433528,24.408624056321344,21.96776165068921
2046-12-31,179828.07422274695,61362.89473906918,0.294,0.294,0.006,0.005,0.1366151463554217,0.035048444929010665,194.57935687868823,24.603893048771912,22.14350374389472
2047-12-31,181086.87074230617,62099.24947593801,0.294,0.294,0.006,0.005,0.1372982220871988,0.03525873559858472,195.1630949493243,24.80072419316209,22.32065177384588
2048-12-31,182354.4788375023,62844.44046964928,0.294,0.294,0.006,0.005,0.13798471319763478,0.035470288012176235,195.74858423417226,24.999129986707388,22.499216988036647
2049-12-31,183630.9601893648,63598.57375528507,0.294,0.294,0.006,0.005,0.13867463676362296,0.03568310974024929,196.33582998687473,25.199123026601047,22.67921072394094
2050-12-31,184916.3769106903,64361.75664034849,0.294,0.294,0.006,0.005,0.13936800994744106,0.03589720839869079,196.9248374768353,25.400716010813852,22.86064440973247
