Feature,Importance_NO2
Population_density,349.9847412109375
Population,217.16070556640625
Pop_age_0-14,170.61790466308594
Bus_motor_Total,160.01834106445312
GDP per capita,146.0565185546875
Car_motor_Total,135.1134490966797
Pop_age_65-79,123.93241119384766
Modal_Share_Car,119.44264221191406
Bus_age_GT_20,112.40182495117188
Pop_age_GT_80,109.76441192626953
Pop_age_50-64,106.69607543945312
Car_age_GT_20,98.02168273925781
Modal_Share_Train,96.40841674804688
Car_Petroleum,93.90982818603516
Pop_age_15-24,91.59139251708984
Car_age_2-5,91.35489654541016
Car_Renewable,87.6722640991211
Bus_age_5-10,81.86666107177734
Bus_age_2-5,81.5483169555664
Bus_age_Total,80.3942642211914
Bus_Diesel,78.15464782714844
Modal_Share_Bus,75.79993438720703
Car_Diesel,74.45425415039062
Car_age_5-10,72.91474151611328
Car_age_Total,70.57222747802734
Bus_age_10-20,67.37472534179688
Bus_Electricity,67.35184478759766
Bus_Natural_Gas,66.38762664794922
Car_age_LT_2,65.51195526123047
Pop_age_25-49,63.19711685180664
Car_age_10-20,61.1642951965332
Bus_age_LT_2,60.896366119384766
Bus_Petroleum,43.50874710083008
Bus_LPG,41.922386169433594
