Feature,Importance_PM10
GDP per capita,1389.0855712890625
Modal_Share_Bus,843.8597412109375
Pop_age_GT_80,402.9384460449219
Pop_age_65-79,359.5239562988281
Pop_age_0-14,288.1796569824219
Car_age_LT_2,262.8760986328125
Population_density,241.53097534179688
Modal_Share_Train,235.25265502929688
Car_Petroleum,223.84716796875
Bus_age_LT_2,217.47254943847656
Car_motor_Total,202.80111694335938
Bus_age_10-20,189.77342224121094
Car_age_10-20,189.54808044433594
Bus_Electricity,189.38343811035156
Pop_age_15-24,183.5027618408203
Car_Renewable,181.16485595703125
Car_age_2-5,174.79568481445312
Bus_motor_Total,150.40969848632812
Modal_Share_Car,148.93185424804688
Bus_age_2-5,146.5423583984375
Car_Diesel,145.48399353027344
Bus_age_Total,141.1572265625
Pop_age_50-64,124.69933319091797
Car_age_Total,118.91175842285156
Population,117.21219635009766
Bus_age_5-10,90.33903503417969
Pop_age_25-49,86.22208404541016
Bus_Diesel,85.65044403076172
Car_age_5-10,84.23560333251953
Car_age_GT_20,83.23529052734375
Bus_Petroleum,81.62462615966797
Bus_age_GT_20,79.80480194091797
Bus_Natural_Gas,59.20036697387695
Bus_LPG,56.89274978637695
