,pm25,pm10,no2
2020-01-01,47.48276,19.655231475830078,62.605556
2021-01-01,46.337353,13.542978286743164,62.472637
2022-01-01,45.17821,7.56693172454834,60.62818
2023-01-01,45.17821,7.639941692352295,58.69218
2024-01-01,45.194675,7.748762130737305,63.329994
2025-01-01,45.154102,8.345171928405762,67.57737
2026-01-01,45.169693,8.558528900146484,67.46907
2027-01-01,44.304527,8.218103408813477,67.831535
2028-01-01,43.570095,14.025056838989258,67.85002
2029-01-01,43.80948,19.898204803466797,68.08223
2030-01-01,43.749493,19.721025466918945,67.21184
2031-01-01,45.823345,18.428747177124023,66.19963
2032-01-01,48.44367,17.172183990478516,65.39869
2033-01-01,48.894135,17.0811824798584,64.59673
2034-01-01,48.743675,17.131643295288086,64.595695
2035-01-01,48.593212,17.11864471435547,64.425415
2036-01-01,48.593212,11.043808937072754,64.3461
2037-01-01,48.828957,2.5976357460021973,63.34796
2038-01-01,49.064697,0.21330013871192932,59.59026
2039-01-01,49.064697,0.21330013871192932,56.921677
2040-01-01,49.527267,0.10106313228607178,56.921677
2041-01-01,49.989838,0.011173885315656662,56.8475
2042-01-01,50.06054,0.011173885315656662,56.773323
2043-01-01,50.418697,0.6001011729240417,56.773323
2044-01-01,50.70615,1.2113763093948364,56.784122
2045-01-01,50.70615,1.2113763093948364,56.79492
2046-01-01,50.70615,1.2113763093948364,56.79492
2047-01-01,50.70615,1.2113763093948364,56.640503
2048-01-01,50.58206,1.2113763093948364,56.48608
2049-01-01,50.457977,33.6975212097168,56.48608
2050-01-01,,,
