,pm25,pm10,no2
2020-01-01,19.062996,29.18628692626953,9.25837
2021-01-01,18.896309,45.55537414550781,9.14904
2022-01-01,20.755823,61.474334716796875,8.982613
2023-01-01,22.237343,60.72761917114258,8.861189
2024-01-01,22.976046,60.438751220703125,9.308482
2025-01-01,23.68414,60.364898681640625,9.75139
2026-01-01,23.55746,60.497127532958984,10.14829
2027-01-01,25.24782,61.19585418701172,9.861337
2028-01-01,26.853449,61.79678726196289,9.57225
2029-01-01,26.871197,61.67607498168945,10.0166235
2030-01-01,27.54975,61.27316665649414,8.918793
2031-01-01,28.315691,61.24246597290039,7.7225003
2032-01-01,28.285677,60.90621566772461,6.122473
2033-01-01,28.516426,59.975486755371094,4.401821
2034-01-01,28.753376,58.744483947753906,4.3972716
2035-01-01,28.95036,58.328556060791016,5.506616
2036-01-01,29.147343,58.744232177734375,6.6171517
2037-01-01,31.264734,58.2241325378418,6.5863414
2038-01-01,33.33153,57.44477844238281,6.6554694
2039-01-01,33.898075,57.865116119384766,7.2776346
2040-01-01,33.001617,58.45066452026367,12.558454
2041-01-01,31.33494,58.43360137939453,17.251043
2042-01-01,31.11834,58.446659088134766,17.954472
2043-01-01,31.308432,58.42926788330078,18.647945
2044-01-01,31.907024,58.26738739013672,17.935507
2045-01-01,32.198814,58.29117965698242,17.380207
2046-01-01,31.876455,58.44253921508789,17.471825
2047-01-01,31.607286,58.42129135131836,17.723747
2048-01-01,31.825806,58.11055374145508,18.145504
2049-01-01,32.16015,57.91580581665039,20.01799
2050-01-01,,,
